State,Latitude,Longitude,Year,Data.Population,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery
Mississippi,32.741646,-89.678696,2002,2866733,109584,29593,70468,9523,9858,5111,264,1127,3356
Mississippi,32.741646,-89.678696,2003,2882594,106867,29564,68307,8996,9336,4974,267,1079,3016
Mississippi,32.741646,-89.678696,2004,2900768,100980,27661,65440,7879,8568,4677,227,1161,2503
Mississippi,32.741646,-89.678696,2005,2908496,95231,26866,60873,7492,8131,4365,214,1147,2405
Mississippi,32.741646,-89.678696,2006,2910540,92853,27117,57406,8330,9076,4547,231,1039,3259
Mississippi,32.741646,-89.678696,2007,2918785,90887,27223,56473,7191,8502,4371,202,1033,2896
Mississippi,32.741646,-89.678696,2008,2938618,85488,25506,53730,6252,8942,4669,236,958,3079
Mississippi,32.741646,-89.678696,2009,2951996,87327,29559,52329,5439,8451,4297,194,991,2969
Mississippi,32.741646,-89.678696,2010,2970072,88596,30453,52784,5359,7999,4087,204,931,2777
Mississippi,32.741646,-89.678696,2011,2977457,89809,30722,54179,4908,8009,4418,232,863,2496
Mississippi,32.741646,-89.678696,2012,2984926,83906,28076,51508,4322,7786,4460,220,822,2284
Mississippi,32.741646,-89.678696,2013,2991207,81500,24995,52117,4388,8214,4680,195,930,2409
Mississippi,32.741646,-89.678696,2014,2994079,87462,24352,58591,4519,8338,4592,258,1058,2430
Mississippi,32.741646,-89.678696,2015,2992333,84790,24799,55748,4243,8254,4498,259,1203,2294
Mississippi,32.741646,-89.678696,2016,2988726,82732,23354,55054,4324,8383,4471,238,1277,2397
Mississippi,32.741646,-89.678696,2017,2984100,81581,24710,52240,4631,8526,5119,245,1091,2071
Mississippi,32.741646,-89.678696,2018,2986530,71766,20839,46627,4300,6999,4696,171,537,1595
Mississippi,32.741646,-89.678696,2019,2976149,70707,18660,46300,5747,8272,5493,332,747,1700
Missouri,38.456085,-92.288368,1999,5468338,223010,42476,157550,22984,27353,18406,359,1439,7149
Missouri,38.456085,-92.288368,2000,5595211,225919,41685,159539,24695,27419,18123,347,1351,7598
Missouri,38.456085,-92.288368,2001,5637309,238411,42977,167420,28014,30472,20946,372,1383,7771
Missouri,38.456085,-92.288368,2002,5669544,230520,42721,159921,27878,30557,21737,331,1465,7024
Missouri,38.456085,-92.288368,2003,5719204,233564,41997,161616,29951,28067,19692,289,1400,6686
Missouri,38.456085,-92.288368,2004,5759532,224629,40472,158264,25893,28226,19763,354,1479,6630
Missouri,38.456085,-92.288368,2005,5797703,227809,42822,159288,25699,30477,21254,402,1625,7196
Missouri,38.456085,-92.288368,2006,5842713,224007,44734,153874,25399,31897,22167,369,1764,7597
Missouri,38.456085,-92.288368,2007,5878415,225113,44897,156319,23897,32962,23082,367,1785,7728
Missouri,38.456085,-92.288368,2008,5911605,216522,45763,150002,20757,29701,20238,456,1612,7395
Missouri,38.456085,-92.288368,2009,5987580,201783,43591,140764,17428,29513,20083,387,1606,7437
Missouri,38.456085,-92.288368,2010,5995715,200858,44197,140526,16135,27440,19390,420,1445,6185
Missouri,38.456085,-92.288368,2011,6008984,199085,44875,138879,15331,26888,18778,366,1469,6275
Missouri,38.456085,-92.288368,2012,6021988,199590,42466,140816,16308,27155,19473,389,1511,5782
Missouri,38.456085,-92.288368,2013,6044171,189606,38865,134416,16325,26197,18055,371,2287,5484
Missouri,38.456085,-92.288368,2014,6063589,176237,35258,124622,16357,26856,18482,403,2379,5592
Missouri,38.456085,-92.288368,2015,6083672,173642,34006,122637,16999,30261,20830,502,2553,6376
Missouri,38.456085,-92.288368,2016,6093000,170549,31710,120544,18295,31644,21983,537,2554,6570
Missouri,38.456085,-92.288368,2017,6113532,173253,30081,123251,19921,32420,22740,600,2729,6351
Missouri,38.456085,-92.288368,2018,6126452,162173,27257,115101,19815,30758,22042,607,2912,5197
Missouri,38.456085,-92.288368,2019,6137428,161946,26414,114460,21072,30380,21936,568,2917,4959
Montana,46.921925,-110.454353,1999,882779,29103,3876,23353,1874,2090,1536,22,293,239
Montana,46.921925,-110.454353,2000,902195,32198,3624,26678,1896,2807,2276,20,308,203
Montana,46.921925,-110.454353,2001,905382,30175,3670,24684,1821,3187,2735,34,188,230
Montana,46.921925,-110.454353,2002,910372,28751,3289,23679,1783,3197,2661,16,237,283
Montana,46.921925,-110.454353,2003,918157,28428,3722,22800,1906,3351,2777,30,246,298
Montana,46.921925,-110.454353,2004,926920,27215,3515,22082,1618,2723,2187,30,273,233
Montana,46.921925,-110.454353,2005,934737,29407,3642,23794,1971,2634,2138,18,301,177
Montana,46.921925,-110.454353,2006,944632,26986,3380,21659,1947,3564,2950,33,348,233
Montana,46.921925,-110.454353,2007,957861,27837,3476,22315,2046,3638,3015,27,363,233
Montana,46.921925,-110.454353,2008,967440,26300,3689,20834,1777,3013,2411,40,358,204
Montana,46.921925,-110.454353,2009,974989,24826,3686,19528,1612,2798,2181,32,357,228
Montana,46.921925,-110.454353,2010,990958,25409,3692,20166,1551,2733,2222,25,332,154
Montana,46.921925,-110.454353,2011,997667,23885,3347,19089,1449,2755,2189,29,366,171
Montana,46.921925,-110.454353,2012,1005141,25970,3894,20387,1689,2736,2139,27,379,191
Montana,46.921925,-110.454353,2013,1015165,25953,4064,20039,1850,2567,1931,22,410,204
Montana,46.921925,-110.454353,2014,1023579,25312,3595,19674,2043,3313,2532,37,541,203
Montana,46.921925,-110.454353,2015,1032949,27100,3838,20844,2418,3611,2818,36,547,210
Montana,46.921925,-110.454353,2016,1042520,27976,3934,21299,2743,3840,2960,36,578,266
Montana,46.921925,-110.454353,2017,1050493,27225,3615,21018,2592,3961,3012,41,613,295
Montana,46.921925,-110.454353,2018,1062305,26518,3257,20465,2796,3974,3120,34,551,269
Montana,46.921925,-110.454353,2019,1068778,23440,2887,18176,2377,4328,3472,27,624,205
Nebraska,41.12537,-98.268082,1999,1666028,61277,10158,45679,5440,7167,5429,60,414,1264
Nebraska,41.12537,-98.268082,2000,1711263,64479,10131,49118,5230,5606,3960,63,436,1147
Nebraska,41.12537,-98.268082,2001,1720039,68963,9760,52713,6490,5214,3612,43,431,1128
Nebraska,41.12537,-98.268082,2002,1727564,68178,10329,51440,6409,5428,3557,48,464,1359
Nebraska,41.12537,-98.268082,2003,1737475,65189,10133,48924,6132,5105,3380,56,504,1165
Nebraska,41.12537,-98.268082,2004,1747704,61512,9826,46399,5287,5393,3595,40,620,1138
Nebraska,41.12537,-98.268082,2005,1758163,60348,9408,45359,5581,5052,3387,44,581,1040
Nebraska,41.12537,-98.268082,2006,1768331,59411,9535,44710,5166,5197,3433,51,577,1136
Nebraska,41.12537,-98.268082,2007,1774571,55765,9035,41484,5246,5524,3788,71,550,1115
Nebraska,41.12537,-98.268082,2008,1783432,51350,8731,38394,4225,5570,3603,69,601,1297
Nebraska,41.12537,-98.268082,2009,1796619,49731,8726,37496,3509,5199,3321,41,617,1220
Nebraska,41.12537,-98.268082,2010,1830141,48827,8318,36896,3613,5093,3345,54,674,1020
Nebraska,41.12537,-98.268082,2011,1842234,50894,8725,38060,4109,4672,2912,68,699,993
Nebraska,41.12537,-98.268082,2012,1855525,51118,8735,38236,4147,4814,2920,53,711,1130
Nebraska,41.12537,-98.268082,2013,1868516,49018,8900,35655,4463,4897,2999,57,801,1040
Nebraska,41.12537,-98.268082,2014,1881503,47479,7950,35074,4455,5275,3316,54,862,1043
Nebraska,41.12537,-98.268082,2015,1896190,42495,6422,32072,4001,5212,3283,62,873,994
Nebraska,41.12537,-98.268082,2016,1907116,43163,6444,31994,4725,5550,3561,49,994,946
Nebraska,41.12537,-98.268082,2017,1920076,43663,6472,31988,5203,5873,3671,43,1191,968
Nebraska,41.12537,-98.268082,2018,1929268,40126,5246,30006,4874,5494,3461,44,1233,756
Nebraska,41.12537,-98.268082,2019,1934408,39449,4745,29719,4985,5821,3731,45,1253,792
Nevada,38.313515,-117.055374,1999,1809253,73874,17613,43167,13094,10311,4994,165,943,4209
Nevada,38.313515,-117.055374,2000,1998257,74823,17526,44125,13172,10474,4942,129,860,4543
Nevada,38.313515,-117.055374,2001,2097722,77486,17711,45073,14702,12359,6364,180,883,4932
Nevada,38.313515,-117.055374,2002,2167455,83896,18951,47459,17486,13856,7629,181,928,5118
Nevada,38.313515,-117.055374,2003,2242207,96128,21958,53321,20849,13813,7520,197,871,5225
Nevada,38.313515,-117.055374,2004,2332898,98215,23142,52438,22635,14379,8348,172,954,4905
Nevada,38.313515,-117.055374,2005,2412301,102424,23481,52012,26931,14654,8730,206,1016,4702
Nevada,38.313515,-117.055374,2006,2495529,102338,24902,50429,27007,18687,10331,226,1092,7038
Nevada,38.313515,-117.055374,2007,2565382,97118,24911,49844,22363,19365,11138,193,1096,6938
Nevada,38.313515,-117.055374,2008,2600167,90006,24254,49814,15938,18973,11216,165,1106,6486
Nevada,38.313515,-117.055374,2009,2643085,80976,22115,46463,12398,18639,11431,156,1024,6028
Nevada,38.313515,-117.055374,2010,2704283,75004,22286,42533,10185,17929,11508,158,965,5298
Nevada,38.313515,-117.055374,2011,2720028,70075,20342,40156,9577,15452,10092,139,913,4308
Nevada,38.313515,-117.055374,2012,2758931,77510,22120,45372,10018,16763,10790,124,931,4918
Nevada,38.313515,-117.055374,2013,2790136,79177,23047,46132,9998,16824,10060,163,1418,5183
Nevada,38.313515,-117.055374,2014,2839099,74538,21927,42426,10185,18045,10564,170,1357,5954
Nevada,38.313515,-117.055374,2015,2890845,77137,22360,43426,11351,20118,11965,178,1688,6287
Nevada,38.313515,-117.055374,2016,2940058,76047,18850,44017,13180,19936,11639,224,1733,6340
Nevada,38.313515,-117.055374,2017,2998039,78322,20049,45461,12812,16667,9662,274,1890,4841
Nevada,38.313515,-117.055374,2018,3034392,73985,17743,44338,11904,16420,10027,202,2329,3862
Nevada,38.313515,-117.055374,2019,3080156,71525,15510,44755,11260,15210,9620,143,2161,3286
New Hampshire,43.452492,-71.563896,1999,1201134,26247,3698,21195,1354,1159,539,18,345,257
New Hampshire,43.452492,-71.563896,2000,1235786,27901,4992,20761,2148,2167,1170,22,522,453
New Hampshire,43.452492,-71.563896,2001,1259359,27089,4889,20060,2140,2144,1224,17,458,445
New Hampshire,43.452492,-71.563896,2002,1274405,26250,4838,19468,1944,2056,1185,12,446,413
New Hampshire,43.452492,-71.563896,2003,1288705,26456,4589,19934,1933,1937,1002,17,438,480
New Hampshire,43.452492,-71.563896,2004,1299169,26658,4979,19723,1956,2202,1219,17,466,500
New Hampshire,43.452492,-71.563896,2005,1306819,24031,4192,18493,1346,1761,971,19,406,365
New Hampshire,43.452492,-71.563896,2006,1314895,26060,4395,20179,1486,1785,1042,13,295,435
New Hampshire,43.452492,-71.563896,2007,1315828,26394,5074,19909,1411,1896,1076,12,357,451
New Hampshire,43.452492,-71.563896,2008,1315809,28387,4266,22714,1407,2054,1234,14,385,421
New Hampshire,43.452492,-71.563896,2009,1324575,28790,4915,22748,1127,2125,1261,11,399,454
New Hampshire,43.452492,-71.563896,2010,1316807,29230,5444,22789,997,2204,1330,13,411,450
New Hampshire,43.452492,-71.563896,2011,1317807,32756,6244,25398,1114,2864,1758,16,581,509
New Hampshire,43.452492,-71.563896,2012,1320718,30693,5444,24226,1023,2481,1545,15,449,472
New Hampshire,43.452492,-71.563896,2013,1323459,29040,4936,23164,940,2849,1492,22,686,649
New Hampshire,43.452492,-71.563896,2014,1326813,26041,4162,21022,857,2602,1459,12,594,537
New Hampshire,43.452492,-71.563896,2015,1330608,23229,3467,18871,891,2652,1543,14,627,468
New Hampshire,43.452492,-71.563896,2016,1334795,20194,2963,16360,871,2637,1611,17,582,427
New Hampshire,43.452492,-71.563896,2017,1342795,18555,2574,15066,915,2668,1572,14,663,419
New Hampshire,43.452492,-71.563896,2018,1356458,16935,1847,14219,869,2349,1435,21,534,359
New Hampshire,43.452492,-71.563896,2019,1359711,16442,1717,13832,893,2074,1138,33,590,313
New Jersey,40.298904,-74.521011,1999,8143412,243333,46998,160978,35357,33540,17601,287,1409,14243
New Jersey,40.298904,-74.521011,2000,8414350,233637,43924,155562,34151,32298,17099,289,1357,13553
New Jersey,40.298904,-74.521011,2001,8511116,240551,46812,156031,37708,33094,17370,336,1278,14110
New Jersey,40.298904,-74.521011,2002,8575252,227715,43899,148061,35755,32252,16593,339,1365,13955
New Jersey,40.298904,-74.521011,2003,8642412,220350,43457,142287,34606,31488,16452,406,1288,13342
New Jersey,40.298904,-74.521011,2004,8685166,211313,41030,139977,30306,30943,16144,392,1331,13076
New Jersey,40.298904,-74.521011,2005,8703150,203391,38980,136728,27683,30919,16079,417,1208,13215
New Jersey,40.298904,-74.521011,2006,8724560,198820,39384,134687,24749,30550,15562,427,1201,13360
New Jersey,40.298904,-74.521011,2007,8685920,192338,37234,133145,21959,28544,14564,381,1032,12567
New Jersey,40.298904,-74.521011,2008,8682661,199127,40402,138545,20180,28351,14152,376,1122,12701
New Jersey,40.298904,-74.521011,2009,8707739,180752,36945,128303,15504,27113,14114,319,1041,11639
New Jersey,40.298904,-74.521011,2010,8799593,183042,38732,128754,15556,27055,13885,371,981,11818
New Jersey,40.298904,-74.521011,2011,8834773,189719,43238,129066,17415,27203,13608,380,1006,12209
New Jersey,40.298904,-74.521011,2012,8864590,181481,42338,122662,16481,25727,12919,388,1035,11385
New Jersey,40.298904,-74.521011,2013,8899339,167556,35873,117936,13747,25674,12071,401,1120,12082
New Jersey,40.298904,-74.521011,2014,8938175,154993,31710,111578,11705,23346,11225,349,1274,10498
New Jersey,40.298904,-74.521011,2015,8958013,145701,27960,105963,11778,22879,11414,363,1373,9729
New Jersey,40.298904,-74.521011,2016,8944469,138152,25284,101540,11328,21914,11105,372,1453,8984
New Jersey,40.298904,-74.521011,2017,9005644,140086,23891,104025,12170,20604,10880,324,1505,7895
New Jersey,40.298904,-74.521011,2018,8908520,125156,19232,94887,11037,18537,10463,286,1424,6364
New Jersey,40.298904,-74.521011,2019,8882190,118637,16399,91902,10336,18375,10852,262,1531,5730
New Mexico,34.840515,-106.248482,1999,1739844,89220,21481,59613,8126,14520,10827,170,944,2579
New Mexico,34.840515,-106.248482,2000,1819046,86605,21339,57925,7341,13786,10230,135,922,2499
New Mexico,34.840515,-106.248482,2001,1830935,83095,19552,56406,7137,14288,10644,99,850,2695
New Mexico,34.840515,-106.248482,2002,1852044,80477,19634,53406,7437,13719,10334,152,1027,2206
New Mexico,34.840515,-106.248482,2003,1878562,76816,18997,50595,7224,12535,9542,116,940,1937
New Mexico,34.840515,-106.248482,2004,1903006,79895,19924,52069,7902,13081,9811,169,1039,2062
New Mexico,34.840515,-106.248482,2005,1925985,79575,20939,50707,7929,12448,9370,144,1041,1893
New Mexico,34.840515,-106.248482,2006,1954599,76000,20906,45864,9230,12797,9495,134,1073,2095
New Mexico,34.840515,-106.248482,2007,1969915,75168,20823,45442,8903,13311,9777,183,1028,2323
New Mexico,34.840515,-106.248482,2008,1984356,75718,20706,46995,8017,12967,9537,161,1118,2151
New Mexico,34.840515,-106.248482,2009,2009671,74639,21955,46182,6502,12709,9510,198,1069,1932
New Mexico,34.840515,-106.248482,2010,2065913,70776,21023,44503,5250,12147,9432,140,959,1616
New Mexico,34.840515,-106.248482,2011,2078674,73549,21419,46730,5400,11904,9170,158,856,1720
New Mexico,34.840515,-106.248482,2012,2085538,75094,21384,48247,5463,11660,8740,116,957,1847
New Mexico,34.840515,-106.248482,2013,2085287,77256,21476,49875,5905,12782,9382,125,1465,1810
New Mexico,34.840515,-106.248482,2014,2085572,73877,18505,49082,6290,12459,8797,101,1475,2086
New Mexico,34.840515,-106.248482,2015,2085109,77094,17085,51483,8526,13681,9407,117,1672,2485
New Mexico,34.840515,-106.248482,2016,2081015,81931,17281,52907,11743,14619,10217,139,1526,2737
New Mexico,34.840515,-106.248482,2017,2088070,82306,17917,52617,11772,16359,11230,148,1259,3722
New Mexico,34.840515,-106.248482,2018,2095428,71657,16088,45390,10179,17949,13598,167,1354,2830
New Mexico,34.840515,-106.248482,2019,2096829,65269,14610,41702,8957,17450,13640,181,1288,2341
New York,42.165726,-74.948051,1999,18196601,489596,93217,338118,58261,107147,58860,903,3563,43821
New York,42.165726,-74.948051,2000,18976457,483078,87946,340901,54231,105111,60090,952,3530,40539
New York,42.165726,-74.948051,2001,19084350,458003,80400,329316,48287,98022,56961,960,3546,36555
New York,42.165726,-74.948051,2002,19134293,442091,76700,318025,47366,95030,53583,909,3885,36653
New York,42.165726,-74.948051,2003,19212425,432079,75453,311422,45204,89486,48987,934,3775,35790
New York,42.165726,-74.948051,2004,19280727,422734,70696,311036,41002,84914,46911,889,3608,33506
New York,42.165726,-74.948051,2005,19315721,405990,68034,302220,35736,85839,46150,874,3636,35179
New York,42.165726,-74.948051,2006,19306183,398577,68617,297827,32133,84016,45467,922,3168,34459
New York,42.165726,-74.948051,2007,19297729,383624,64914,290681,28029,79962,45144,805,2928,31085
New York,42.165726,-74.948051,2008,19490297,388599,65544,297962,25093,77546,42125,836,2798,31787
New York,42.165726,-74.948051,2009,19541453,377537,62769,292897,21871,75110,43606,781,2582,28141
New York,42.165726,-74.948051,2010,19395206,379710,65839,293232,20639,76492,44197,868,2797,28630
New York,42.165726,-74.948051,2011,19501616,371837,65227,287361,19249,77463,45538,769,2751,28405
New York,42.165726,-74.948051,2012,19570261,376140,64553,294239,17348,79610,47423,684,2848,28655
New York,42.165726,-74.948051,2013,19651127,358598,56442,286674,15482,77372,46130,648,3353,27241
New York,42.165726,-74.948051,2014,19746227,339282,50781,272765,15736,75398,45303,617,5433,24045
New York,42.165726,-74.948051,2015,19795791,317529,44276,257940,15313,75165,44546,609,6074,23936
New York,42.165726,-74.948051,2016,19745289,305181,39821,250968,14392,74285,45079,630,6260,22316
New York,42.165726,-74.948051,2017,19849399,300555,35002,252143,13410,70799,43819,548,6324,20108
New York,42.165726,-74.948051,2018,19542209,281507,31137,237233,13137,68495,43171,562,6575,18187
New York,42.165726,-74.948051,2019,19453561,267155,27600,226851,12704,69764,44555,558,6583,18068
North Carolina,35.630066,-79.806419,1999,7650789,354497,98457,230463,25577,41474,26680,552,2155,12087
North Carolina,35.630066,-79.806419,2000,8049313,355921,97888,232767,25266,40051,24715,560,2181,12595
North Carolina,35.630066,-79.806419,2001,8206105,363777,101889,237241,24647,40465,24573,505,2083,13304
North Carolina,35.630066,-79.806419,2002,8305820,353708,99535,229307,24866,39118,24169,548,2196,12205
North Carolina,35.630066,-79.806419,2003,8421190,359660,100687,232081,26892,38243,23369,506,2139,12229
North Carolina,35.630066,-79.806419,2004,8540468,355328,101193,227147,26988,38244,23591,532,2339,11782
North Carolina,35.630066,-79.806419,2005,8672459,353855,104298,221091,28466,40650,25128,585,2302,12635
North Carolina,35.630066,-79.806419,2006,8856505,364549,107333,227114,30102,42088,25586,539,2495,13468
North Carolina,35.630066,-79.806419,2007,9061032,369893,108700,233241,27952,42231,25727,584,2386,13534
North Carolina,35.630066,-79.806419,2008,9222414,372763,111556,234480,26727,43125,25907,599,2296,14323
North Carolina,35.630066,-79.806419,2009,9380884,343707,107830,215923,19954,37946,23326,489,2306,11825
North Carolina,35.630066,-79.806419,2010,9560234,329202,102826,208057,18319,34679,22583,474,2002,9620
North Carolina,35.630066,-79.806419,2011,9651103,337806,105534,215453,16819,33421,21516,498,1959,9448
North Carolina,35.630066,-79.806419,2012,9752073,328594,99323,213151,16120,34464,22609,479,1984,9392
North Carolina,35.630066,-79.806419,2013,9848060,308049,90702,202741,14606,33700,21513,469,2369,9349
North Carolina,35.630066,-79.806419,2014,9943964,285697,79373,192694,13630,32767,21421,510,2420,8416
North Carolina,35.630066,-79.806419,2015,10042802,276183,74841,187907,13435,34852,22826,517,2684,8825
North Carolina,35.630066,-79.806419,2016,10146788,277765,72082,190377,15306,37769,24906,678,2849,9336
North Carolina,35.630066,-79.806419,2017,10273419,261486,64786,180902,15798,37364,24708,591,2715,9350
North Carolina,35.630066,-79.806419,2018,10383620,258979,62290,179057,17632,39210,27526,628,2633,8423
North Carolina,35.630066,-79.806419,2019,10488084,247236,54447,174728,18061,38995,27517,632,3247,7599
North Dakota,47.528912,-99.784012,1999,633666,14748,2337,11375,1036,424,216,10,142,56
North Dakota,47.528912,-99.784012,2000,642200,14171,2093,11092,986,523,294,4,169,56
North Dakota,47.528912,-99.784012,2001,636550,14834,2165,11583,1086,505,274,7,164,60
North Dakota,47.528912,-99.784012,2002,633911,14762,2243,11501,1018,496,270,5,163,58
North Dakota,47.528912,-99.784012,2003,633400,13364,1959,10327,1078,508,286,9,160,53
North Dakota,47.528912,-99.784012,2004,636308,12493,2040,9516,937,558,330,8,177,43
North Dakota,47.528912,-99.784012,2005,634605,12848,2043,9732,1073,706,460,12,180,54
North Dakota,47.528912,-99.784012,2006,635867,13359,2601,9672,1086,1255,925,14,241,75
North Dakota,47.528912,-99.784012,2007,639715,12796,2314,9500,982,1343,999,17,252,75
North Dakota,47.528912,-99.784012,2008,641481,13029,2336,9782,911,1441,1026,11,331,73
North Dakota,47.528912,-99.784012,2009,646844,12813,2426,9474,913,1723,1308,12,296,107
North Dakota,47.528912,-99.784012,2010,674629,12010,2000,9137,873,1548,1203,10,245,90
North Dakota,47.528912,-99.784012,2011,684740,13334,2458,9891,985,1699,1318,24,266,91
North Dakota,47.528912,-99.784012,2012,699628,14063,2377,10535,1151,1712,1281,28,272,131
North Dakota,47.528912,-99.784012,2013,723393,15148,2934,10798,1416,1954,1446,16,330,162
North Dakota,47.528912,-99.784012,2014,739482,15605,2707,11384,1514,1960,1407,22,358,173
North Dakota,47.528912,-99.784012,2015,756927,16020,2997,11440,1583,1812,1298,21,345,148
North Dakota,47.528912,-99.784012,2016,757952,17402,3243,12195,1964,1903,1365,15,342,181
North Dakota,47.528912,-99.784012,2017,755393,16602,2942,11887,1773,2125,1533,10,399,183
North Dakota,47.528912,-99.784012,2018,760077,15507,2724,11008,1775,2133,1560,18,397,158
North Dakota,47.528912,-99.784012,2019,762062,15066,2608,10666,1792,2169,1529,24,437,179
Ohio,40.388783,-82.764915,1999,11256654,414264,87023,288049,39192,35616,16685,397,4129,14405
Ohio,40.388783,-82.764915,2000,11353140,420939,88636,293277,39026,37935,17636,418,4271,15610
Ohio,40.388783,-82.764915,2001,11389785,435115,96910,295976,42229,40023,17906,452,4466,17199
Ohio,40.388783,-82.764915,2002,11408699,428976,99164,287045,42767,40128,16922,526,4809,17871
Ohio,40.388783,-82.764915,2003,11437680,417483,95083,281383,41017,38185,16104,526,4660,16895
Ohio,40.388783,-82.764915,2004,11450143,419337,96518,282168,40651,38787,16108,506,4744,17429
Ohio,40.388783,-82.764915,2005,11470685,420705,100183,279051,41471,40162,16228,590,4671,18673
Ohio,40.388783,-82.764915,2006,11478006,423334,105639,279718,37977,41491,16743,560,4770,19418
Ohio,40.388783,-82.764915,2007,11466917,397681,99049,264677,33955,40759,17218,529,4661,18351
Ohio,40.388783,-82.764915,2008,11485910,391667,102428,260788,28451,40436,16652,547,4531,18706
Ohio,40.388783,-82.764915,2009,11542645,376446,104009,249777,22660,38305,15989,527,4119,17670
Ohio,40.388783,-82.764915,2010,11537968,376836,107125,248581,21130,36306,15611,479,3730,16486
Ohio,40.388783,-82.764915,2011,11541007,380572,112901,246744,20927,35218,15048,500,3679,15991
Ohio,40.388783,-82.764915,2012,11544225,359883,103421,236950,19512,34595,15207,495,3658,15235
Ohio,40.388783,-82.764915,2013,11570808,338731,91433,227766,19532,33121,14257,455,4041,14368
Ohio,40.388783,-82.764915,2014,11594163,324528,78845,227668,18015,33030,14771,464,5042,12753
Ohio,40.388783,-82.764915,2015,11613423,300525,69303,213993,17229,33898,15695,500,5149,12554
Ohio,40.388783,-82.764915,2016,11614373,299357,66883,212807,19667,34877,16111,654,5589,12523
Ohio,40.388783,-82.764915,2017,11658609,282034,58573,203208,20253,34683,16509,710,5859,11605
Ohio,40.388783,-82.764915,2018,11689442,254496,48186,186401,19909,32723,17674,564,5300,9185
Ohio,40.388783,-82.764915,2019,11689100,240291,43894,177725,18672,34269,19154,538,5731,8846
Oklahoma,35.565342,-96.928917,1999,3358044,140220,34472,93616,12132,17066,12675,231,1375,2785
Oklahoma,35.565342,-96.928917,2000,3450654,140125,31661,96116,12348,17177,12958,182,1422,2615
Oklahoma,35.565342,-96.928917,2001,3469577,141679,34573,94537,12569,17726,13309,185,1486,2746
Oklahoma,35.565342,-96.928917,2002,3489700,148128,35171,100185,12772,17587,12885,163,1573,2966
Oklahoma,35.565342,-96.928917,2003,3506469,151208,34846,103404,12958,17758,12827,206,1501,3224
Oklahoma,35.565342,-96.928917,2004,3523546,149472,35244,101271,12957,17635,12802,186,1557,3090
Oklahoma,35.565342,-96.928917,2005,3543442,143406,35692,93814,13900,18044,13146,187,1481,3230
Oklahoma,35.565342,-96.928917,2006,3579212,129728,34437,81853,13438,17905,13062,210,1488,3145
Oklahoma,35.565342,-96.928917,2007,3617316,128714,34367,80747,13600,18234,13053,224,1565,3392
Oklahoma,35.565342,-96.928917,2008,3642361,126535,35247,80265,11023,19359,13975,215,1471,3698
Oklahoma,35.565342,-96.928917,2009,3687050,132350,38071,83813,10466,18560,13433,234,1535,3358
Oklahoma,35.565342,-96.928917,2010,3760184,129464,37848,81303,10313,18100,13091,195,1469,3345
Oklahoma,35.565342,-96.928917,2011,3784163,127618,36462,80064,11092,17311,12401,212,1410,3288
Oklahoma,35.565342,-96.928917,2012,3814820,129743,35731,82448,11564,17902,12867,216,1588,3231
Oklahoma,35.565342,-96.928917,2013,3850568,126057,33348,81495,11214,16989,11583,195,2180,3031
Oklahoma,35.565342,-96.928917,2014,3878051,115982,29508,75891,10583,15744,10744,175,1777,3048
Oklahoma,35.565342,-96.928917,2015,3911338,112878,28406,74022,10450,16506,11418,234,1849,3005
Oklahoma,35.565342,-96.928917,2016,3923561,117037,29103,75779,12155,17648,12202,245,2039,3162
Oklahoma,35.565342,-96.928917,2017,3930864,113066,28608,72207,12251,17934,12550,242,2142,3000
Oklahoma,35.565342,-96.928917,2018,3943079,113364,26858,73217,13289,18380,13084,206,2299,2791
Oklahoma,35.565342,-96.928917,2019,3956971,112587,26577,72632,13378,17086,12183,266,2268,2369
Oregon,44.572021,-122.070938,1999,3316154,153434,26749,113052,13633,12432,8267,88,1219,2858
Oregon,44.572021,-122.070938,2000,3421399,153780,25618,114230,13932,12000,7756,70,1286,2888
Oregon,44.572021,-122.070938,2001,3473441,164524,26648,123034,14842,10650,6643,84,1174,2749
Oregon,44.572021,-122.070938,2002,3520355,161145,25696,118925,16524,10298,6246,72,1238,2742
Oregon,44.572021,-122.070938,2003,3564330,169863,28562,122327,18974,10506,6373,68,1218,2847
Oregon,44.572021,-122.070938,2004,3591363,166475,30072,117868,18535,10724,6600,90,1283,2751
Oregon,44.572021,-122.070938,2005,3638871,160199,27621,113316,19262,10444,6620,80,1266,2478
Oregon,44.572021,-122.070938,2006,3700758,137858,24324,98897,14637,10534,6516,88,1219,2711
Oregon,44.572021,-122.070938,2007,3747455,132773,22979,95157,14637,11015,6799,76,1276,2864
Oregon,44.572021,-122.070938,2008,3790060,125169,21115,92677,11377,9909,5983,87,1183,2656
Oregon,44.572021,-122.070938,2009,3825657,114780,19739,85064,9977,9968,6179,88,1202,2499
Oregon,44.572021,-122.070938,2010,3838332,116657,20035,87494,9128,9648,5892,96,1239,2421
Oregon,44.572021,-122.070938,2011,3868229,121869,20704,92059,9106,9643,6083,84,1239,2237
Oregon,44.572021,-122.070938,2012,3899353,125723,21901,93619,10203,9653,6008,92,1140,2413
